restaurant_name,airport_ident,airport_name,city,state,type,region,source,website,substack_post,notes,lat,lon,status,status_date,status_note
The Beaumont Hotel Café,07S,Beaumont Hotel Airport,Beaumont,KS,on-airport,Midwest,Seed list,,,Historic hotel café at a private Kansas airstrip. The Beaumont Hotel dates to 1879 and has hosted cattle drives and oil barons. A genuine step back in time — land at the grass strip and walk to the dining room.,,,,,
Bistro Le Relais,KLOU,Bowman Field,Louisville,KY,on-airport,South,Seed list,https://lerelaisrestaurant.com,,French bistro in the historic terminal at Bowman Field — one of the oldest operating airports in the US. White tablecloths and classic French cuisine next to a ramp full of vintage aircraft. A genuinely surprising find at a Kentucky GA airport.,,,,,
Nancy's Air Field Café,6B6,Minute Man Air Field,Stow,MA,on-airport,Northeast,Seed list,,,Classic New England airport diner at Minute Man Airfield west of Boston. Famous among local pilots for generous breakfasts and friendly service. The airfield has strong ties to the local Civil Air Patrol and EAA community.,,,closed,2023-04,Closed in spring 2023 when the owner retired after 27 years. Fourth & Field opened in the space that September.
Crosswinds Restaurant,KACK,Nantucket Memorial Airport,Nantucket,MA,on-airport,Northeast,Seed list,,,"On-field restaurant at Nantucket Memorial with views of one of the most scenic GA airports on the East Coast. Breakfast and lunch — expect a mix of island residents, ferry commuters and summer transient traffic from throughout the Northeast.",,,,,
Holman's Table,KSTP,St. Paul Downtown Airport,St. Paul,MN,on-airport,Midwest,Seed list,https://holmanstable.com,,Upscale farm-to-table dining in the historic Holman Field terminal building overlooking the Mississippi River and downtown St. Paul skyline. One of the most architecturally beautiful airport restaurants in the Midwest. Lunch and dinner.,,,,,
Pik-N-Pig BBQ,5NC3,Gilliam-McConnell Airfield,Carthage,NC,on-airport,NC,Seed list,https://piknpig.com,,A genuine BBQ landmark accessible only by air or a bumpy dirt road. Fly into this grass strip in the North Carolina Sandhills and taxi up to a pulled pork sandwich that's worth the trip. A bucket-list fly-in for East Coast pilots. Thu–Sun only.,,,,,
Flight Deck Diner,KWWD,Cape May Airport,Cape May,NJ,on-airport,Northeast,Seed list,,,On-field diner at Cape May Airport on the southern tip of New Jersey. Breakfast and lunch served to a mix of shore-bound vacationers and transient GA traffic. One of the more scenic GA airports in the mid-Atlantic.,,,closed,2026-03-14,"A fire-suppression pipe burst in early February 2026 and flooded the building. Engineering reports put repairs in the millions, the lease was terminated, and the owner announced permanent closure on March 14, 2026. Note: capemayairport.com still advertises the diner as open — it is not."
The Apron Cafe,KFOK,Francis S. Gabreski Airport,Westhampton Beach,NY,on-airport,Northeast,Seed list,,,On-field café at Gabreski Airport on Long Island's East End — gateway to the Hamptons. Breakfast and lunch with ramp views. A popular fuel and food stop for NYC-area pilots heading out to eastern Long Island.,,,closed,2020-10,A new chef-owner took over in the fall of 2020 and rebranded the space as Cafe Volo.
Hangars Cafe,44N,Sky Acres Airport,Poughkeepsie,NY,on-airport,Northeast,Seed list,,,Beloved Hudson Valley airport diner at Sky Acres. Breakfast and lunch served to a tight-knit local flying community. The airport has one of the most active pilot communities in the mid-Hudson Valley. Worth the trip from NYC.,,,,,
Sky Galley,KLUK,Cincinnati Municipal Lunken Airport,Cincinnati,OH,on-airport,Midwest,Seed list,,,On-field restaurant at Lunken Airport — one of the oldest airports in the country — with art deco terminal views and a classic American menu. Breakfast and lunch. A beloved institution for the Cincinnati aviation community.,,,closed,2020-09-20,"Closed September 20, 2020 after decades at Lunken. The terminal restaurant space has been vacant since; a boutique hotel with its own restaurant is under construction as of 2026."
Tin Goose Diner,KPCW,Erie-Ottawa International Airport,Port Clinton,OH,on-airport,Midwest,Seed list,,,"Named for the Ford Tri-Motor, this diner at Erie-Ottawa International sits on the shores of Lake Erie. Breakfast and lunch with lake views. Port Clinton is the walleye capital of the world — fish specials are a regular feature.",,,,,
Jake's Joint,KADM,Ardmore Municipal Airport,Ardmore,OK,on-airport,South,Seed list,,,Down-home Oklahoma diner at Ardmore Municipal with a devoted local following. Breakfast and lunch at a price that makes you feel like you're back in 1985. A good fuel stop on the I-35 corridor between Oklahoma City and Dallas.,,,,,
DeNunzio's Italian Chophouse,KLBE,Arnold Palmer Regional Airport,Latrobe,PA,on-airport,Northeast,Seed list,https://denunziosrestaurant.com,,"Upscale Italian steakhouse at Arnold Palmer Regional — fittingly, in the hometown of the King himself. One of the more elegant airport restaurants in the Northeast. Dinner-focused with a full bar and sweeping views of the Laurel Highlands.",,,,,
Runway Café,KGMU,Greenville Downtown Airport,Greenville,SC,on-airport,SC,Seed list,,,On-field café at Greenville Downtown with ramp views and a loyal local pilot crowd. Breakfast and lunch in the heart of the South Carolina Upstate. The airport sits minutes from downtown Greenville — one of the most revitalized mid-size cities in the Southeast.,,,closed,2025-05-26,The Airport Commission did not renew the lease after 15 years. Hangar 28 Kitchen & Events opened in the space in July 2026.
Southern Flyer Diner,11R,Brenham Municipal Airport,Brenham,TX,on-airport,TX,Seed list,,,"A Texas institution. The Southern Flyer is one of the most talked-about airport diners in the state — chicken fried steak, jalapeño cornbread and sweet tea. Brenham is Blue Bell ice cream country. Breakfast and lunch Fri–Sun. Worth planning a trip around.",,,closed,2020-08,"Closed in the COVID dine-in shutdown. A successor, the Dreamliner Diner, ran Dec 2021 – Dec 2022; the space has been under renovation since."
Hangar 6 Air Café,KUVA,Garner Field,Uvalde,TX,on-airport,TX,Seed list,,,On-field café at Garner Field in the Texas Hill Country. Breakfast and lunch with a strong local ranching and hunting crowd. Uvalde is one of the highest-density quail hunting areas in Texas — expect to share the ramp with hunting camp traffic in season.,,,,,
Hard Eight BBQ,KSEP,Stephenville Clark Regional Airport,Stephenville,TX,near-airport,TX,Seed list,https://hardeightbbq.com,,"One of Texas's most celebrated BBQ joints — brisket, ribs and sausage cooked over mesquite in open pits out front. A short drive from Stephenville Clark Regional in the heart of Cowboy Country. The smell hits you a mile out. Open daily.",,,,,
Aviator's Grill,KDWH,David Wayne Hooks Memorial Airport,Spring,TX,on-airport,TX,Seed list,,,On-field restaurant at Hooks — one of the busiest GA airports in the Houston metro. Breakfast and lunch with ramp views of a constant stream of GA traffic. A reliable fuel-and-food stop north of Houston.,,,,,
McGehee Catfish Restaurant,T40,McGehee Catfish Restaurant Airport,Marietta,OK,on-airport,South,Seed list,https://www.mcgeheescatfish.com,,"A Red River institution since 1972, built on all-you-can-eat fried catfish with homemade hushpuppies, fresh-cut fries, coleslaw and a green tomato relish, finished with fried pies. For decades the turf strip ran right up to the door and this was one of the best-known fly-in meals in the region. Thu–Fri 5PM–8PM · Sat 1PM–8PM · Sun 1PM–7PM · Closed Mon–Wed.",33.8990,-97.1705,closed,2020-02,"The restaurant is still open — the airstrip is not. FAA data carries T40 as closed and non-operational as of February 2020, and pilot reports put it out of use for transient traffic long before that. Two 2007 accidents are on the NTSB record; the Board attributed both to the pilots, and per AOPA the runway was already closed and marked with an X about a month before the second one — so the accidents did not close the field. The airport is literally named for the restaurant, which is why fly-in directories keep listing it. Reachable by car only: the nearest fields with fuel are Ardmore Downtown Executive (1F0) 15nm north and Gainesville Municipal (KGLE) 15nm south, each about 26 road miles. Arrange ground transport before you launch."
Volanti,KSDL,Scottsdale Airport,Scottsdale,AZ,on-airport,AZ,Seed list,https://volantiscottsdale.com,,Upscale restaurant at Scottsdale Airport with sweeping desert views and a sleek modern interior. One of the most polished airport dining experiences in the Southwest. Lunch and dinner — expect a sophisticated crowd and a serious cocktail program.,,,,,
Mesa Grill,KSEZ,Sedona Airport,Sedona,AZ,on-airport,AZ,Seed list,https://sedonamesagrill.com,,"Perched on top of the Sedona Airport mesa at 4,800 feet with arguably the most dramatic views of any airport restaurant in the country. Red rock formations in every direction. Breakfast and lunch — arrive early before the tour helicopter traffic picks up.",,,,,
Flight Deck Restaurant & Lounge,KSLE,Salem McNary Field,Salem,OR,on-airport,PNW,Seed list,https://flightdeckrestaurant.com,,"On-field restaurant established in 1968 at Salem McNary Field with windows on three sides giving panoramic views of the runway and Cascade Mountains. Northwest American cuisine with homemade soups, desserts and a full bar. A classic $100 hamburger destination on the I-5 corridor. Mon–Fri 11AM–9PM · Sat–Sun 8AM–9PM.",,,,,
Ellie's at the Airport,KAWO,Arlington Municipal Airport,Arlington,WA,on-airport,PNW,Seed list,,,"On-field diner at Arlington Municipal with direct runway views and a devoted local following. Classic American breakfast and lunch — the omelets and French fries draw particular praise. A lively spot with a full bar and a mix of pilots, hangar tenants and locals. Mon–Fri 8AM–2PM · Sat–Sun 8AM–2PM.",,,,,
Volo,KOXC,Waterbury-Oxford Airport,Oxford,CT,on-airport,Northeast,2026 freshness pass,https://voloatoxford.com,,"Opened in the former Restaurant 121 space, which their own site puts about 300 feet from the runway, with floor-to-ceiling glass and both indoor and patio seating. It is run by an in-flight catering company that moved its operation into the building, so the kitchen's aviation credentials are literal. Casual fine dining: elevated American plates plus Neapolitan pizza. Watch the schedule — lunch Tue–Sun 11AM–3PM, dinner Thu–Sat only 5PM–9:30PM, closed Mondays. Reservations suggested for parties of five or more. (203) 266-2107.",,,,,
Fourth & Field,6B6,Minute Man Air Field,Stow,MA,on-airport,Northeast,2026 freshness pass,https://www.fourthandfield.com,,"A family-run farm-to-table restaurant that took over Nancy's Air Field Café in September 2023, with about 70 seats indoors and a 75-seat patio looking out over the field. The kitchen sources from named local farms and twenty of its own garden beds; brunch is the move — corned beef hash, build-your-own omelettes, steak and cheese on an everything bagel. Wed–Fri lunch 11AM–3PM and dinner from 4PM · Sat brunch 9AM–3PM and dinner from 4PM · Sun brunch 9AM–3PM · Closed Mon–Tue. Note the field itself is on the market as of 2026, though the owners say it is business as usual.",,,,,
Fly In Cafe,7FL6,Spruce Creek Fly-In,Port Orange,FL,near-airport,FL,2026 freshness pass,https://flyincafeportorange.com,,"Opened September 2023 in the old Downwind Café space, keeping the cozy aviation-themed room and leaning into it on the menu — the Fly-In Omelet, the Spruce Creek Scrambler, and pizzas named The Ranch Runway and The Margherita Maneuver. Full bar, happy hour 3–7PM, live music Fri and Sat nights. Read this before you go: this is a drive-to destination. The restaurant's own access page states that 7FL6 ""is a private airport with a strict INVITEE POLICY, which does not permit any access using the runway to visit the Cafe,"" and warns that unauthorized runway use or misstating your destination ""may result in a trespass."" Databases will mislead you here: the FAA record reads private-use PPR and AirNav even lists a POA number, but only a Spruce Creek resident can grant permission to land, the invitation must be specific to you, and the restaurant cannot issue one. You drive in through one of two guarded gates and present a license, which is copied. Breakfast Tue–Sat 8–11AM, Sun 8AM–12PM · Lunch Tue–Sat 11:30AM–4PM, Sun 12–4PM · Dinner Sun and Tue–Thu 4–8PM · Closed Mon.",,,,,
Cafe Volo,KFOK,Francis S. Gabreski Airport,Westhampton Beach,NY,on-airport,Northeast,2026 freshness pass,https://www.cafevolowhb.com,,"Took over the former Apron Cafe space in the fall of 2020, at the base of the tower with a view of traffic working the field. A breakfast-and-lunch operation rather than a dinner house. This is the listing on this map we are least sure of: the restaurant posts no hours or news anywhere we could find, and the most recent independent coverage we could turn up is from early 2025 — aggregators still show it active. Treat it as probably open and call (631) 998-3573 before planning a flight around it. Gabreski also charges a landing fee and asks that you reserve with the FBO before arrival. Unrelated to Volo at Oxford, CT.",,,,,
Hangar 28 Kitchen & Events,KGMU,Greenville Downtown Airport,Greenville,SC,on-airport,SC,2026 freshness pass,https://hangar28greenville.com,,"Opened July 8, 2026 in the old Runway Café space on the South Ramp, and worth the detour if you have been missing the original. Chef-owner Trish Ballentine runs a scratch kitchen — handcrafted sandwiches, house-roasted meats, shareable plates and rotating weekly specials — with a full bar and house-made mixers. A 16-foot glass hangar door frames the runway, and there is a gated playground for anyone flying with kids. Currently Tue–Sun 11AM–3PM, closed Mon; dinner and weekend breakfast have been announced but are not yet running. The name honors two women born in 1928 and nods to the airport's 2028 centennial.",,,,,
Tantrums Flightside Cafe,KBOW,Bartow Executive Airport,Bartow,FL,on-airport,FL,2026 freshness pass,https://tantrumscafe.com,,"A family-run operation inside the Bartow terminal building with ramp and runway views, serving Old Florida comfort food. Breakfast runs to the Pilot's Breakfast, chicken and waffles, and shrimp and grits; lunch to the Signature Smash Burger, a Cuban, Shrimp & Grit Cakes and gator bites. Burger Monday, Taco Tuesday and a Friday fish fry rotate through the week, and there is key lime pie waiting at the end of it. Mon–Sat 7AM–2PM · Closed Sun.",,,,,
Elevation 89,KOCF,Ocala Intl (Jim Taylor Field),Ocala,FL,on-airport,FL,2026 freshness pass,https://www.elevation89attheocalaairport.com,,"The most polished restaurant on this map that still lets you park on the ramp and walk in. Opened 2021 in the center of the Sheltair terminal: floor-to-ceiling windows onto the runway, a bar built from an aircraft wing and equestrian touches for Marion County horse country. Crab cakes, porcini-dusted scallops, lobster spring rolls, and a serious burger list including the Flying Goat with goat cheese and fig jam. Sun–Thu 11AM–9PM · Fri–Sat 11AM–10PM. Reservations on OpenTable; sunset over the runway is the draw.",,,,,
Starduster Cafe,7S5,Independence State Airport,Independence,OR,on-airport,PNW,2026 freshness pass,,,"About as short a walk as fly-in dining gets — the cafe sits on the east side of the runway, roughly 200 feet from the transient tie-downs. A straightforward family-run diner: eggs, hash browns, corned beef hash, biscuits and gravy, country fried steak, and window seats looking straight out at the pattern. Independence charges no landing or tie-down fees. Plan it as a morning flight — the kitchen closes at 2PM every day. Mon–Sat 6AM–2PM · Sun 7AM–2PM. Pattern note: gliders and ultralights fly RIGHT traffic for 16/34 while everyone else flies left — two patterns on opposite sides of the same runway at once. Expect ultralights on and around the field and waterfowl in season. CTAF 122.975.",,,,,
Buzz Inn Steakhouse,S43,Harvey Field,Snohomish,WA,on-airport,PNW,2026 freshness pass,https://buzzinnsteakhouse.com,,"One of the few fly-in options in Puget Sound that will still feed you at eight in the evening — open seven days from 7AM for breakfast through dinner, which is unusual for an on-field restaurant. Hand-cut Angus steaks aged at least 28 days are the house specialty, with all-day breakfast, a full bar, and indoor and outdoor seating. Sun–Thu 7AM–9PM · Fri–Sat 7AM–10PM. Pattern note: Harvey is an active jump field and the parachute landing area is the gravel circle between the paved runway and the main taxiway — which is why 15L is RIGHT traffic and the field asks that all patterns stay west. A standard left pattern to 15L puts you over the jumpers. Second student drop zone 1nm east marked with a white X, helicopter training west of the runways at and below 500ft, no touch-and-goes. CTAF 123.0. The runway is 2,672 x 36 ft with a 452 ft displaced threshold on 15L — worth the numbers before a night arrival. The restaurant's lease runs through at least September 2027.",,,,,
The Airplane Restaurant,KCOS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,near-airport,Mountain,2026 freshness pass,https://theairplanerestaurant.com,,"You eat inside a 1953 Boeing KC-97 tanker — 42 of the roughly 275 seats are in the airframe itself, and the cockpit is open to walk through. Diner-plus American: the Reuben von Crashed, the BBQ Bomber Burger, Runway Chicken Wings, Angus steaks. It is outside the airport fence, but the walk is genuinely easy: out the landside door at Cutter Aviation or jetCenters of Colorado and southwest to Newport Road, about half a mile and ten minutes on foot, no ramp crossing and no badging. Sun–Thu 11AM–8PM · Fri–Sat 11AM–9PM. Two flight-planning notes: the field sits at 6,187 ft and summer afternoon density altitude runs into five figures, and both FBOs are jet houses — ask about a ramp fee before you go. KCOS is Class C.",,,,,
Top Gun Bar and Grill,KPLU,Pierce County Airport (Thun Field),Puyallup,WA,on-airport,PNW,2026 candidate research,https://www.topgunbgllc.com,,"A working pilots' bar and grill right on the ramp at Thun Field, midfield on the west side with a straight view of the pattern. Burgers, club sandwiches, fish and chips, nachos and pizza, plus omelettes and skillets on the weekend breakfast menu. Free pool and cornhole on the back patio. Open seven days: Mon to Wed 11AM to midnight, Thu and Fri 11AM to 2AM, Sat 8AM to 2AM, Sun 8AM to midnight. (253) 848-0555. IMPORTANT: this venue is 21 and over only, no children. Field notes: runway 17/35 is 3,651 by 60 ft, narrower than most pilots are used to, with PAPI both ends on a steep 4.0 degree glidepath. Non-towered, CTAF 122.7, self-serve 100LL 24 hours. Noise sensitive in all quadrants, so fly the abatement procedures. Ultralights prohibited.",,,,,
Twin Peak's Drive-In,4S2,Ken Jernstedt Airfield,Hood River,OR,near-airport,PNW,2026 candidate research,https://twinpeaksdrivein.toast.site,,"A classic roadside drive-in a quarter mile west of the field, sitting almost on the extended runway centerline. Handcrafted burgers with house-made sauces, four kinds of fries, and old-fashioned malted milkshakes. Pair it with the WAAAM antique aircraft and automobile museum on the field and Hood River becomes a day trip rather than a lunch stop. Open 10:30AM to 8:30PM. (541) 386-4460. Field notes: runway 7/25 is 3,040 by 75 ft asphalt, CTAF 122.8, 100LL available. Brief the Gorge before you go. The chart warns that crosswinds here produce extreme low level turbulence and unexpected wind currents, and it is the most important operational fact about this field. Glider operations are conducted here, and there is a grass median runway north of the pavement that cannot be used at the same time as the paved surface. Noise sensitive.",,,,,
Cavanaugh's,66S,Cavanaugh Bay Airport,Coolin,ID,near-airport,PNW,2026 candidate research,https://www.cavsresort.com,,"Lakefront dining on Priest Lake about a tenth of a mile north of the parking apron, which is a two minute walk from the turf. The operator says plainly to fly in and join them. The menu leans regional: Priest Lake Pasta, fish tacos, steak salad, Selkirk nachos, and a huckleberry ice cream sandwich. Dining is first come first served with no reservations, though groups of ten or more are appreciated in advance. Summer hours Sun to Thu noon to 8PM, Fri and Sat noon to 9PM. No takeout on Friday or Saturday June through September. (208) 215-7088. Field notes: runway 15/33 is 3,100 by 120 ft turf, state owned by Idaho Transportation Department Aeronautics, elevation 2,484 ft. No fuel and no repairs, tiedowns only. There is no line of sight between the runway ends. Watch for irrigation sprinklers on the runway, and note the edges and thresholds are marked with white rocks. Seaplane operations in the adjacent bay, CTAF 122.9. Seasonal field with no winter maintenance.",,,,,
Hangar Cafe,HRF,Ravalli County Airport,Hamilton,MT,on-airport,Mountain,2026 candidate research,,,"On the field at 303 Airport Rd, in a remodeled hangar looking straight at landing traffic. Owner operated for fifteen years by Ashley Hale, whose father converted the hangar into a cafe in 2005. Breakfast and lunch with aviation names on the menu including the Glider Omelet and the Spruce Goose Burger, and it was recently voted best breakfast in the Bitterroot. Fire season helicopter crews eat here, which tells you something about both the food and the turnaround. Wed to Fri 9AM to 2PM, Sat 8AM to 12:30PM, Sun 8AM to 1:30PM, closed Mon and Tue. (406) 363-4478. Field notes: the identifier changed from 6S5 to HRF in October 2021, so older guides and databases are wrong. Runway 17/35 is 5,200 by 75 ft asphalt with PAPI both ends, elevation 3,636 ft, 100LL and Jet-A on field. Parachute jump activity and ultralight activity are both noted here, so brief them.",,,,,
Big Creek Lodge,U60,Big Creek Airport,Big Creek,ID,on-airport,Mountain,2026 candidate research,https://www.bigcreeklodgeidaho.com,,"The flagship backcountry meal in Idaho. The rebuilt lodge sits at the edge of the strip in the Frank Church River of No Return wilderness, running a short seasonal menu the lodge describes as healthy filling cuisine to fit backcountry tastes. Breakfast 7:30AM to 1PM at $35, lunch noon to 1PM at $35, dinner one seating at 6PM at $45. Breakfast needs no reservation and is the only walk-up meal. Dinner requires 48 hours notice and confirmation, and the lodge cannot take walk-in dinner guests because there is no phone on site and no grocery store within three hours. Closed Wednesdays during the 2026 season. (208) 949-1828. READ THIS FIRST: Idaho Division of Aeronautics states do not attempt operations at Big Creek without a solid fundamental background in mountain flying, and strongly recommends an airport checkout. Runway 01/19 is 3,550 by 110 ft turf at 5,743 ft elevation. Land runway 19 and depart runway 01. Straight-ins are strongly discouraged, and departing 19 southbound is strongly discouraged because of rising terrain and a history of high density altitude accidents. The first 400 ft of runway 01 is rough and undulating. Expect strong downdrafts on final, big game on and around the runway, trees 30 to 60 ft along the edges and ends, rodent holes and soft wet sections. No fuel, unattended, no winter maintenance.",,,,,
